MemberID,SavingFrequency,SavingTimesPerPeriod,TotalSavingCycles,CompletedSavingCycles,UserSavingsMade,TotalCurrentSaving,IkiminaCreatedYear,UserJoinedYear,EmploymentStatus,HasGuardian,Age,RecentLoanPaymentStatus,SavingStatus,SavingRatingFactor,SavingRatio,ExpectedLoan,BoostAmount,AllowedLoan
1,daily,1,365,238,49,8300204,2019,2023,employed,TRUE,19,Excellent,Poor,0.2,0.21,2545860.89,876343.08,3422203.97
2,daily,1,365,217,80,1872561,2020,2020,employed,TRUE,19,Excellent,Poor,0.2,0.37,629939.88,267035,896974.87
3,daily,1,365,317,42,9755468,2018,2018,employed,TRUE,19,Excellent,Poor,0.2,0.13,2246527.33,713910.24,2960437.57
4,daily,1,365,197,30,9335973,2022,2022,employed,TRUE,19,Excellent,Poor,0.2,0.15,3459522.99,1584663.48,5044186.47
5,daily,1,365,122,113,4927418,2016,2017,employed,TRUE,19,Excellent,Better,0.8,0.93,11793492.26,5651048.38,9854836
6,daily,1,365,280,156,3316742,2017,2017,unemployed,TRUE,19,Excellent,Bad,0.4,0.56,1729444.04,558981.02,2288425.06
7,daily,1,365,234,217,3619147,2018,2023,unemployed,TRUE,19,Excellent,Better,0.8,0.93,4516200.53,1449223.38,5965423.91
8,daily,1,365,0,0,0,2019,2020,unemployed,TRUE,19,Excellent,Poor,0.2,0,0,0,0
9,daily,1,365,46,27,583230,2018,2020,unemployed,TRUE,19,Excellent,Bad,0.4,0.59,1851121.3,816476.72,1166460
10,daily,1,365,97,23,6407965,2017,2018,unemployed,TRUE,19,Excellent,Poor,0.2,0.24,4822489.12,2185190.38,7007679.51
11,daily,1,365,295,141,3707934,2018,2018,employed,FALSE,19,Excellent,Bad,0.4,0.48,1835113.1,637624.04,2472737.14
12,daily,1,365,260,82,6247836,2016,2024,employed,FALSE,19,Excellent,Poor,0.2,0.32,1754200.11,550998.75,2305198.86
13,daily,1,365,0,0,0,2016,2018,employed,FALSE,19,Excellent,Poor,0.2,0,0,0,0
14,daily,1,365,60,50,2691935,2016,2024,employed,FALSE,19,Excellent,Better,0.8,0.83,13100750.33,5676991.81,5383870
15,daily,1,365,73,36,7861281,2018,2023,employed,FALSE,19,Excellent,Bad,0.4,0.49,15722562,7019000.89,15722562
16,daily,1,365,51,29,6149649,2015,2019,unemployed,FALSE,19,Excellent,Bad,0.4,0.57,17604877.53,7834170.5,12299298
17,daily,1,365,150,52,6388064,2021,2024,unemployed,FALSE,19,Excellent,Poor,0.2,0.35,3108857.81,1301834.21,4410692.02
18,daily,1,365,278,174,9151415,2017,2018,unemployed,FALSE,19,Excellent,Good,0.6,0.63,7209208.22,2366169.76,9575377.98
19,daily,1,365,179,110,8038744,2016,2021,unemployed,FALSE,19,Excellent,Good,0.6,0.61,9835111.37,4261881.6,14096992.97
20,daily,1,365,215,86,1854334,2019,2023,unemployed,FALSE,19,Excellent,Bad,0.4,0.4,1259222.16,459030.4,1718252.56
21,daily,1,365,335,327,4883334,2018,2019,employed,TRUE,75,Excellent,Better,0.8,0.98,4256517.99,1147966.57,5404484.56
22,daily,1,365,127,68,4334219,2016,2016,employed,TRUE,75,Excellent,Bad,0.4,0.54,4982645.46,2304473.53,7287118.99
23,daily,1,365,166,129,6177250,2015,2022,employed,TRUE,75,Excellent,Good,0.6,0.78,8149504.52,3341296.85,11490801.37
24,daily,1,365,194,83,4451372,2018,2024,employed,TRUE,75,Excellent,Bad,0.4,0.43,3350001.61,1254585.47,4604587.08
25,daily,1,365,104,10,5550719,2015,2021,employed,TRUE,75,Excellent,Poor,0.2,0.1,3896177.76,1626654.21,5522831.97
26,daily,1,365,163,63,9907862,2015,2020,unemployed,TRUE,75,Excellent,Poor,0.2,0.39,4437263.35,1774905.34,6212168.69
27,daily,1,365,245,111,6431357,2017,2018,unemployed,TRUE,75,Excellent,Bad,0.4,0.45,3832563.76,1249738.43,5082302.19
28,daily,1,365,57,33,7474070,2016,2017,unemployed,TRUE,75,Excellent,Bad,0.4,0.58,19144109.12,8216013.5,14948140
29,daily,1,365,181,144,1427180,2018,2022,unemployed,TRUE,75,Excellent,Good,0.6,0.8,1726808.95,681472.82,2408281.77
30,daily,1,365,81,47,8290506,2024,2024,unemployed,TRUE,75,Excellent,Bad,0.4,0.58,14943381.19,6537729.27,16581012
31,daily,1,365,264,40,3695812,2016,2021,employed,FALSE,75,Excellent,Poor,0.2,0.15,1021948.02,316649.04,1338597.06
32,daily,1,365,363,125,5062162,2019,2022,employed,FALSE,75,Excellent,Poor,0.2,0.34,1018010.54,242899.28,1260909.82
33,daily,1,365,292,76,3780899,2015,2016,employed,FALSE,75,Excellent,Poor,0.2,0.26,945224.75,300108.86,1245333.61
34,daily,1,365,282,133,8268032,2017,2021,employed,FALSE,75,Excellent,Bad,0.4,0.47,4280612.31,1268624.73,5549237.04
35,daily,1,365,322,252,3022120,2019,2022,employed,FALSE,75,Excellent,Good,0.6,0.78,2055417.02,543057.77,2598474.79
36,daily,1,365,177,60,3142435,2016,2022,unemployed,FALSE,75,Excellent,Poor,0.2,0.34,1296032.51,518413.01,1814445.52
37,daily,1,365,248,108,3341576,2018,2022,unemployed,FALSE,75,Excellent,Bad,0.4,0.44,1967218.13,593111.73,2560329.86
38,daily,1,365,132,15,1746791,2017,2018,unemployed,FALSE,75,Excellent,Poor,0.2,0.11,966028.36,425656.24,1391684.6
39,daily,1,365,92,85,2374380,2018,2021,unemployed,FALSE,75,Excellent,Better,0.8,0.92,7536075.65,3149003.04,4748760
40,daily,1,365,117,99,1640741,2019,2019,unemployed,FALSE,75,Excellent,Better,0.8,0.85,4094840.79,1842678.35,3281482
41,daily,1,365,300,284,1718553,2015,2018,employed,TRUE,95,Excellent,Better,0.8,0.95,1672724.92,473938.73,2146663.65
42,daily,1,365,288,129,5008566,2015,2016,employed,TRUE,95,Excellent,Bad,0.4,0.45,2539064.71,783230.93,3322295.64
43,daily,1,365,230,157,6697126,2016,2017,employed,TRUE,95,Excellent,Good,0.6,0.68,6376828.67,2369361.52,8746190.19
44,daily,1,365,242,78,5346464,2017,2023,employed,TRUE,95,Excellent,Poor,0.2,0.32,1612776.33,496578.5,2109354.83
45,daily,1,365,116,57,934214,2015,2017,employed,TRUE,95,Excellent,Bad,0.4,0.49,1175821.07,526179.93,1702001
46,daily,1,365,354,251,9866447,2016,2021,unemployed,TRUE,95,Excellent,Good,0.6,0.71,6103818.91,1233264.54,7337083.45
47,daily,1,365,143,33,8894321,2020,2022,unemployed,TRUE,95,Excellent,Poor,0.2,0.23,4540457.57,1850236.46,6390694.03
48,daily,1,365,237,236,7343251,2023,2024,unemployed,TRUE,95,Excellent,Better,0.8,1,9047380.98,2786746.04,11834127.02
49,daily,1,365,310,308,1032331,2019,2020,unemployed,TRUE,95,Excellent,Better,0.8,0.99,972389.2,253291.7,1225680.9
50,daily,1,365,198,160,5821444,2016,2018,unemployed,TRUE,95,Excellent,Better,0.8,0.81,8585159.84,3344093.19,11642888
51,daily,1,365,149,134,1980893,2017,2018,employed,FALSE,95,Excellent,Better,0.8,0.9,3882018.5,1807564.86,3961786
52,daily,1,365,64,35,5211089,2018,2022,employed,FALSE,95,Excellent,Bad,0.4,0.55,11887796.78,5137226.47,10422178
53,daily,1,365,186,161,4353123,2022,2022,employed,FALSE,95,Excellent,Better,0.8,0.87,6833935.03,3194680.92,8706246
54,daily,1,365,175,61,9562371,2016,2022,employed,FALSE,95,Excellent,Poor,0.2,0.35,3988874.76,1695271.77,5684146.53
55,daily,1,365,0,0,0,2015,2020,employed,FALSE,95,Excellent,Poor,0.2,0,0,0,0
